t_ms,asset_id,sector,hit
1,a214,-1,1
4,a21,-1,1
6,a196,-1,1
7,a126,-1,1
10,a289,-1,1
13,a248,-1,1
16,a33,-1,1
19,a222,-1,1
21,a282,-1,1
22,a214,-1,1
25,a29,-1,1
28,a126,-1,1
40,a152,-1,1
41,a89,-1,1
44,a25,-1,1
45,a272,-1,1
46,a262,-1,1
48,a103,-1,1
49,a123,-1,1
52,a277,-1,1
54,a152,-1,1
57,a99,-1,1
60,a103,-1,1
63,a123,-1,1
66,a83,-1,1
67,a25,-1,1
70,a157,-1,1
72,a103,-1,1
74,a157,-1,1
77,a222,-1,1
80,a16,-1,1
81,a298,-1,1
82,a262,-1,1
84,a202,-1,1
87,a152,-1,1
90,a298,-1,1
91,a169,-1,1
93,a233,-1,1
94,a103,-1,1
95,a8,-1,1
97,a66,-1,1
100,a216,-1,1
101,a222,-1,1
103,a271,-1,1
106,a129,-1,1
109,a152,-1,1
112,a87,-1,1
114,a298,-1,1
119,a131,-1,1
122,a295,-1,1
123,a258,-1,1
125,a295,-1,1
127,a63,-1,1
130,a117,-1,1
133,a231,-1,1
135,a48,-1,1
138,a88,-1,1
139,a72,-1,1
140,a63,-1,1
143,a63,-1,1
144,a299,-1,1
147,a118,-1,1
148,a184,-1,1
149,a140,-1,1
150,a253,-1,1
151,a192,-1,1
154,a253,-1,1
155,a26,-1,1
156,a118,-1,1
159,a215,-1,1
162,a64,-1,1
163,a199,-1,1
188,a20,-1,1
191,a62,-1,1
192,a231,-1,1
195,a70,-1,1
197,a247,-1,1
199,a69,-1,1
201,a15,-1,1
203,a195,-1,1
204,a282,-1,1
206,a70,-1,1
209,a69,-1,1
210,a240,-1,1
213,a63,-1,1
214,a156,-1,1
217,a90,-1,1
220,a284,-1,1
221,a86,-1,1
223,a141,-1,1
225,a242,-1,1
226,a247,-1,1
228,a195,-1,1
229,a240,-1,1
232,a240,-1,1
233,a247,-1,1
236,a211,-1,1
237,a284,-1,1
238,a171,-1,1
240,a240,-1,1
243,a247,-1,1
245,a57,-1,1
246,a242,-1,1
247,a132,-1,1
248,a41,-1,1
251,a86,-1,1
252,a216,-1,1
255,a284,-1,1
258,a216,-1,1
259,a242,-1,1
262,a86,-1,1
263,a62,-1,1
264,a199,-1,1
265,a62,-1,1
268,a240,-1,1
269,a195,-1,1
270,a195,-1,1
272,a132,-1,1
273,a156,-1,1
274,a156,-1,1
275,a72,-1,1
276,a247,-1,1
278,a290,-1,1
280,a62,-1,1
282,a247,-1,1
284,a70,-1,1
287,a62,-1,1
289,a217,-1,1
290,a70,-1,1
291,a156,-1,1
294,a247,-1,1
296,a86,-1,1
298,a156,-1,1
299,a69,-1,1
300,a207,-1,1
302,a69,-1,1
303,a284,-1,1
306,a295,-1,1
307,a86,-1,1
308,a231,-1,1
310,a195,-1,1
311,a282,-1,1
312,a70,-1,1
315,a62,-1,1
323,a284,-1,1
326,a78,-1,1
328,a78,-1,1
331,a102,-1,1
333,a163,-1,1
336,a71,-1,1
338,a176,-1,1
339,a176,-1,1
340,a33,-1,1
341,a71,-1,1
343,a204,-1,1
345,a22,-1,1
346,a234,-1,1
347,a204,-1,1
348,a204,-1,1
349,a71,-1,1
351,a78,-1,1
354,a103,-1,1
357,a103,-1,1
360,a103,-1,1
362,a156,-1,1
363,a238,-1,1
364,a103,-1,1
367,a284,-1,1
368,a176,-1,1
371,a44,-1,1
374,a68,-1,1
377,a155,-1,1
378,a40,-1,1
380,a74,-1,1
382,a68,-1,1
385,a244,-1,1
386,a83,-1,1
388,a261,-1,1
