t_ms,asset_id,sector,hit
2,a44379,0,1
3,a60529,0,1
4,a83476,0,1
7,a10774,0,1
10,a74668,0,1
13,a43591,0,1
16,a53465,0,1
18,a92328,0,1
20,a67699,0,1
22,a77059,0,1
24,a62620,0,1
26,a5601,0,1
28,a57219,0,1
30,a34602,0,1
33,a90462,0,1
36,a4383,0,1
38,a11362,0,1
39,a40899,0,1
42,a66397,0,1
45,a47819,0,1
47,a32345,0,1
50,a70923,0,1
53,a69962,0,1
54,a72497,0,1
57,a32383,0,1
58,a67979,0,1
60,a74342,0,1
62,a49931,0,1
65,a35868,0,1
67,a74477,0,1
70,a59916,0,1
71,a12,0,1
73,a28652,0,1
76,a97917,0,1
77,a62621,0,1
80,a77847,0,1
83,a98734,0,1
85,a35811,0,1
86,a13002,0,1
89,a27443,0,1
91,a43388,0,1
94,a28888,0,1
96,a54970,0,1
99,a65830,0,1
100,a88795,0,1
103,a91239,0,1
105,a93652,0,1
107,a29522,0,1
108,a74386,0,1
109,a32996,0,1
110,a69628,0,1
112,a63582,0,1
113,a15761,0,1
115,a34354,0,1
116,a50232,0,1
117,a63263,0,1
118,a59470,0,1
121,a97940,0,1
122,a35227,0,1
123,a78211,0,1
126,a60135,0,1
129,a21305,0,1
130,a86399,0,1
132,a16113,0,1
134,a23783,0,1
136,a6272,0,1
137,a29468,0,1
138,a2424,0,1
141,a62130,0,1
144,a67411,0,1
146,a84408,0,1
149,a5732,0,1
150,a65397,0,1
153,a29418,0,1
154,a71131,0,1
155,a62644,0,1
157,a84561,0,1
159,a60889,0,1
161,a10985,0,1
174,a44944,187,1
175,a96993,187,1
177,a75768,187,1
179,a54358,187,1
180,a61662,187,1
181,a65839,187,1
183,a8323,187,1
186,a41241,187,1
187,a26601,187,1
190,a1073,187,1
192,a85074,187,1
206,a13874,195,1
207,a66010,195,1
208,a7394,195,1
211,a90362,195,1
213,a19253,195,1
216,a7373,195,1
219,a58929,195,1
221,a45152,195,1
224,a32817,195,1
225,a83967,195,1
226,a99086,195,1
228,a4658,195,1
230,a95278,195,1
231,a84956,195,1
232,a90869,195,1
235,a98235,195,1
238,a96614,195,1
241,a66718,195,1
243,a21539,195,1
244,a93702,195,1
246,a72633,195,1
249,a69440,195,1
252,a39999,195,1
254,a9235,195,1
255,a77432,195,1
256,a69583,195,1
257,a83457,195,1
259,a11217,195,1
262,a99085,195,1
264,a67191,195,1
265,a30073,195,1
268,a34489,195,1
271,a89256,195,1
274,a22131,195,1
277,a24863,195,1
280,a81829,195,1
283,a45398,195,1
284,a87809,195,1
285,a56299,195,1
288,a78283,195,1
290,a57900,195,1
292,a83120,195,1
294,a90687,195,1
296,a14142,195,1
297,a16637,195,1
298,a39935,195,1
300,a9048,195,1
302,a15316,195,1
304,a9213,195,1
305,a62995,195,1
308,a97213,195,1
309,a38451,195,1
312,a42796,195,1
313,a8980,195,1
316,a41153,195,1
318,a24307,195,1
321,a83538,195,1
324,a31567,195,1
325,a87988,195,1
328,a90006,195,1
329,a42931,195,1
331,a77678,195,1
334,a91264,195,1
337,a59414,195,1
339,a20279,195,1
342,a93268,195,1
343,a18213,195,1
344,a1236,195,1
345,a98517,195,1
348,a96052,195,1
350,a39219,195,1
352,a95558,195,1
355,a52429,195,1
371,a61051,171,1
372,a26247,171,1
375,a87944,171,1
378,a80401,171,1
380,a93353,171,1
381,a22146,171,1
383,a17761,171,1
386,a88552,171,1
387,a34522,171,1
389,a61022,171,1
392,a10662,171,1
395,a87632,171,1
397,a92523,171,1
399,a25787,171,1
402,a53065,171,1
404,a1094,171,1
407,a45322,171,1
409,a59149,171,1
411,a77055,171,1
412,a80802,171,1
414,a31331,171,1
416,a14000,171,1
417,a4700,171,1
419,a92483,171,1
420,a83682,171,1
421,a51666,171,1
423,a80889,171,1
426,a21853,171,1
427,a7265,171,1
429,a65296,171,1
430,a89903,171,1
431,a61470,171,1
432,a21216,171,1
435,a73170,171,1
438,a27668,171,1
439,a1125,171,1
441,a31646,171,1
444,a43012,171,1
447,a96084,171,1
449,a43808,171,1
452,a75383,171,1
453,a87599,171,1
454,a42329,171,1
455,a825,171,1
457,a87887,171,1
460,a91072,171,1
461,a26178,171,1
464,a74944,171,1
465,a37057,171,1
467,a98446,171,1
469,a90763,171,1
472,a1344,171,1
474,a77754,171,1
475,a66183,171,1
476,a36347,171,1
478,a6673,171,1
480,a89056,171,1
482,a52223,171,1
485,a68245,171,1
488,a29611,171,1
491,a68330,171,1
494,a89606,171,1
495,a49600,171,1
496,a87689,171,1
497,a52503,171,1
500,a85708,171,1
502,a27194,171,1
505,a4785,171,1
508,a41642,171,1
510,a31754,171,1
511,a36332,171,1
514,a43652,171,1
535,a8754,94,1
536,a67559,94,1
537,a41881,94,1
538,a77003,94,1
539,a26917,94,1
541,a7046,94,1
543,a8319,94,1
545,a42721,94,1
546,a63215,94,1
547,a5903,94,1
550,a87911,94,1
552,a18571,94,1
554,a32086,94,1
555,a11476,94,1
556,a91498,94,1
558,a4394,94,1
559,a96490,94,1
560,a29600,94,1
562,a12413,94,1
563,a5341,94,1
565,a48667,94,1
567,a98384,94,1
569,a68328,94,1
572,a35390,94,1
573,a49231,94,1
575,a71601,94,1
577,a5492,94,1
580,a45278,94,1
581,a82129,94,1
583,a21195,94,1
585,a74322,94,1
586,a74943,94,1
587,a8973,94,1
589,a82594,94,1
590,a22761,94,1
591,a98768,94,1
592,a67134,94,1
593,a34791,94,1
595,a68101,94,1
598,a62033,94,1
601,a45308,94,1
620,a44113,38,1
623,a24146,38,1
626,a71171,38,1
629,a4705,38,1
630,a61702,38,1
631,a97079,38,1
633,a78298,38,1
636,a42553,38,1
639,a61028,38,1
642,a90306,38,1
644,a46091,38,1
646,a17876,38,1
647,a88646,38,1
648,a32897,38,1
649,a5259,38,1
651,a93645,38,1
654,a62655,38,1
656,a15406,38,1
659,a90148,38,1
660,a15462,38,1
663,a41308,38,1
666,a21719,38,1
668,a97296,38,1
671,a8528,38,1
674,a94103,38,1
677,a30312,38,1
678,a45699,38,1
681,a7783,38,1
683,a64454,38,1
685,a28959,38,1
688,a47910,38,1
691,a99735,38,1
693,a48473,38,1
695,a67164,38,1
698,a22700,38,1
701,a32283,38,1
704,a84611,38,1
706,a81282,38,1
709,a90431,38,1
710,a73854,38,1
713,a72615,38,1
716,a17996,38,1
719,a2955,38,1
720,a77943,38,1
723,a25578,38,1
726,a35305,38,1
729,a35313,38,1
732,a95557,38,1
733,a68743,38,1
734,a785,38,1
736,a30,38,1
737,a40520,38,1
738,a69442,38,1
739,a12740,38,1
740,a27747,38,1
743,a6557,38,1
746,a24340,38,1
