t_ms,asset_id,size_bytes
1,a75046,65536
3,a58853,65536
4,a72452,262144
5,a58853,65536
6,a75046,65536
8,a43152,65536
9,a2439,65536
10,a95835,262144
11,a34575,65536
12,a81351,65536
15,a67125,262144
16,a42891,65536
18,a72452,262144
19,a66464,131072
20,a53472,65536
21,a2439,65536
24,a95835,65536
27,a66464,65536
28,a4085,131072
31,a2772,262144
32,a94869,65536
35,a75046,65536
36,a58853,65536
39,a98636,65536
42,a2772,65536
43,a74878,65536
46,a2439,65536
49,a36898,65536
52,a2439,131072
54,a95835,65536
56,a75046,65536
59,a55947,262144
61,a40122,131072
62,a26796,65536
63,a4085,65536
65,a40122,65536
67,a65539,131072
69,a16225,65536
70,a70259,131072
73,a74415,262144
76,a58853,262144
79,a66464,65536
80,a4085,131072
83,a63483,131072
84,a81351,65536
85,a70259,65536
86,a81351,131072
87,a94320,262144
89,a70259,262144
92,a83485,262144
93,a2439,65536
94,a95835,65536
95,a44040,131072
104,a58547,262144
106,a7903,131072
109,a52808,131072
110,a98646,262144
113,a11815,262144
114,a48085,65536
116,a77237,65536
118,a23188,65536
120,a48085,65536
121,a72763,65536
122,a50497,65536
123,a52252,65536
126,a48085,65536
128,a77237,131072
130,a1383,65536
131,a8403,262144
134,a95527,65536
136,a48085,131072
139,a66911,262144
142,a23541,65536
143,a23541,65536
146,a23188,131072
148,a77237,131072
151,a7903,131072
167,a74464,65536
169,a89786,262144
171,a53781,262144
174,a94054,262144
175,a56529,262144
177,a10039,65536
179,a87203,131072
181,a5831,262144
182,a76186,65536
184,a56529,65536
187,a95197,262144
190,a74464,65536
192,a10039,65536
193,a12060,65536
196,a47838,131072
197,a47838,65536
200,a20547,262144
203,a12060,131072
206,a39052,131072
216,a21918,65536
217,a46575,65536
218,a82157,65536
228,a5185,262144
230,a5185,131072
231,a74983,65536
234,a29364,131072
235,a61274,262144
251,a94855,131072
253,a98345,65536
255,a44243,65536
258,a85248,65536
260,a98345,262144
261,a94855,131072
262,a69840,65536
263,a17425,65536
266,a94855,65536
267,a74561,262144
281,a93358,262144
293,a83458,262144
294,a79641,65536
295,a83458,131072
298,a27535,131072
299,a39394,65536
301,a34698,131072
303,a62568,131072
304,a79641,65536
305,a54744,65536
308,a42640,65536
310,a79641,65536
312,a83458,65536
313,a80109,65536
316,a82888,65536
318,a56595,65536
319,a88655,65536
321,a55272,65536
322,a30866,65536
325,a79641,65536
328,a62568,65536
331,a8093,65536
333,a25129,65536
334,a59216,65536
335,a79982,65536
337,a2355,262144
340,a88655,262144
343,a34698,65536
346,a39394,65536
349,a42640,65536
352,a866,65536
353,a30836,65536
354,a55272,262144
357,a62568,131072
359,a5142,262144
362,a83458,131072
365,a66441,65536
366,a30866,131072
367,a30291,65536
368,a55272,65536
370,a54744,262144
372,a38361,65536
374,a39394,65536
376,a24157,262144
377,a89542,131072
379,a66441,131072
380,a21541,65536
381,a34698,65536
384,a72537,65536
386,a40982,262144
388,a866,262144
391,a30866,65536
392,a79982,65536
395,a6005,262144
397,a32951,65536
399,a54744,131072
400,a866,65536
402,a42640,65536
405,a62568,65536
408,a42640,65536
409,a59216,131072
411,a56595,65536
413,a57291,65536
416,a6784,262144
417,a83458,65536
418,a866,262144
421,a80109,65536
423,a30866,65536
424,a39961,262144
426,a24157,65536
428,a34698,262144
429,a80109,262144
430,a34698,65536
433,a15500,262144
434,a66441,65536
437,a34698,65536
440,a39329,65536
441,a59216,65536
442,a5142,262144
443,a68581,131072
444,a68793,65536
446,a30866,262144
448,a18957,65536
449,a85215,262144
455,a10299,65536
457,a55227,131072
459,a41934,65536
461,a10299,262144
464,a29649,65536
467,a94720,65536
470,a44522,65536
473,a56613,262144
474,a16647,131072
477,a7444,262144
478,a26012,262144
481,a25826,65536
484,a1959,262144
485,a1959,262144
487,a2848,262144
490,a56736,262144
493,a7444,65536
495,a16647,262144
498,a23763,131072
500,a16647,65536
502,a56613,131072
504,a10299,262144
519,a37764,65536
520,a3044,65536
522,a78534,65536
525,a22718,65536
526,a3044,65536
529,a46804,65536
531,a94373,65536
533,a47640,65536
534,a91059,65536
537,a91059,65536
538,a54398,65536
540,a54398,262144
543,a12965,131072
545,a11421,262144
547,a94373,262144
549,a37764,131072
551,a67416,262144
552,a71467,131072
554,a90481,65536
556,a67416,65536
558,a76194,65536
559,a40919,65536
560,a47640,65536
562,a19781,65536
564,a37764,65536
566,a16023,65536
567,a37764,262144
569,a37764,65536
