t_ms,asset_id,size_bytes
2,a82936,65536
5,a2025,262144
6,a77157,65536
7,a50865,65536
8,a22893,262144
11,a32529,131072
14,a26732,65536
16,a62761,65536
17,a96810,65536
19,a13138,131072
20,a24777,65536
21,a72743,65536
22,a58547,131072
25,a90768,262144
27,a84214,65536
29,a43407,65536
31,a31299,65536
33,a9371,131072
35,a26614,131072
37,a47888,131072
38,a22221,131072
41,a1823,65536
44,a34012,65536
47,a1545,262144
49,a95800,262144
50,a26490,65536
53,a93120,131072
56,a94508,65536
58,a85060,65536
60,a81895,65536
62,a65630,262144
63,a25112,262144
65,a31463,131072
67,a93680,262144
70,a25163,65536
71,a35967,131072
72,a65503,65536
74,a60106,65536
75,a82557,262144
76,a92693,262144
77,a77650,262144
84,a3045,65536
87,a83363,262144
89,a19690,65536
91,a99139,262144
102,a91981,131072
103,a77583,65536
104,a20994,262144
105,a62235,131072
106,a68177,131072
108,a95940,262144
110,a38192,65536
113,a38818,262144
116,a14613,65536
118,a69928,262144
121,a91964,262144
123,a69339,131072
126,a20697,131072
128,a87343,131072
129,a22337,131072
131,a65551,262144
132,a52325,65536
135,a4588,65536
137,a35038,262144
138,a33371,65536
141,a15591,262144
143,a57407,262144
145,a99852,131072
147,a57324,131072
167,a90406,65536
169,a63733,65536
170,a70059,131072
171,a10400,65536
172,a86712,262144
174,a18836,262144
175,a35871,262144
178,a47784,262144
179,a48349,65536
181,a12970,65536
184,a98643,131072
185,a74955,131072
188,a65979,65536
191,a22564,65536
192,a74635,65536
193,a19766,262144
194,a71719,65536
196,a46686,65536
198,a14578,262144
201,a50299,65536
204,a8320,65536
206,a23483,262144
207,a99020,65536
208,a50359,65536
211,a59046,65536
212,a30712,131072
213,a33429,262144
216,a75589,65536
218,a80535,65536
221,a33033,65536
222,a63258,131072
224,a83751,65536
226,a24562,65536
227,a36864,65536
230,a75017,262144
232,a95007,131072
234,a93927,65536
235,a34507,131072
237,a65413,131072
240,a42742,131072
241,a79214,65536
242,a94699,65536
245,a95658,65536
252,a53293,65536
255,a5728,65536
256,a26020,65536
258,a78984,131072
260,a91137,131072
261,a46216,65536
262,a70898,65536
265,a75941,65536
266,a72771,131072
267,a26733,65536
269,a72288,65536
270,a94456,131072
273,a72884,131072
274,a59048,65536
275,a52395,262144
277,a65803,65536
279,a14341,262144
282,a4778,262144
284,a64822,262144
286,a65828,262144
287,a7230,131072
290,a25564,65536
292,a91114,131072
295,a19144,65536
297,a22423,65536
299,a47748,65536
302,a95020,65536
304,a23539,65536
306,a9636,262144
309,a20052,65536
310,a39831,262144
313,a90838,65536
316,a71900,65536
319,a71583,65536
321,a58481,131072
322,a88482,131072
325,a51613,131072
326,a5046,131072
329,a4563,65536
330,a63510,131072
332,a33527,131072
335,a75904,65536
338,a56475,262144
363,a55707,131072
364,a55342,65536
365,a68781,65536
368,a28276,131072
370,a77041,65536
373,a71148,262144
375,a9115,262144
377,a82299,65536
378,a49818,65536
380,a25026,65536
381,a96448,262144
382,a88227,131072
385,a5033,65536
388,a54212,65536
389,a97294,262144
391,a61104,262144
394,a90288,65536
397,a13460,131072
399,a24878,262144
400,a81219,131072
403,a67811,131072
406,a99083,131072
407,a39714,65536
408,a80750,65536
411,a37264,65536
412,a25593,262144
415,a4816,65536
417,a48648,131072
419,a58069,262144
421,a61932,262144
423,a47975,131072
424,a5087,262144
425,a90420,131072
427,a70785,262144
430,a45926,65536
433,a36697,65536
435,a84860,262144
436,a59110,65536
439,a24488,131072
440,a62377,65536
441,a44906,65536
443,a54837,131072
445,a91799,262144
448,a36259,262144
451,a34611,262144
452,a97853,131072
454,a41169,65536
457,a98043,65536
460,a91103,131072
463,a40666,65536
466,a12695,65536
469,a33094,262144
472,a52390,65536
475,a20436,65536
478,a24081,131072
480,a59923,65536
482,a38187,65536
485,a85408,262144
488,a74017,262144
490,a87788,65536
493,a87421,65536
495,a80247,262144
496,a94085,65536
498,a65112,262144
501,a70078,65536
504,a40428,131072
505,a68149,65536
507,a54236,131072
508,a7824,131072
511,a94847,65536
512,a48885,65536
513,a55227,65536
514,a93641,131072
515,a66882,65536
517,a78351,131072
519,a12331,65536
520,a46286,131072
523,a53515,262144
525,a27001,65536
528,a59110,131072
531,a50164,65536
534,a16255,262144
537,a29614,262144
538,a5400,131072
540,a53878,65536
542,a99662,131072
543,a21788,65536
544,a15383,131072
545,a31683,262144
546,a53468,65536
548,a40576,65536
551,a65451,65536
553,a6104,65536
555,a2659,131072
557,a26410,131072
559,a43239,131072
562,a32489,262144
563,a81464,65536
564,a10845,65536
565,a94888,131072
567,a1458,65536
568,a21172,65536
569,a38358,65536
570,a37049,131072
571,a8911,65536
573,a77969,65536
574,a59174,131072
576,a98983,262144
579,a19201,262144
581,a81455,65536
584,a70719,65536
587,a45894,131072
590,a27151,65536
592,a97627,65536
594,a63759,65536
595,a59505,131072
598,a65031,131072
600,a83883,65536
603,a88251,131072
