t_ms,asset_id,size_bytes,sector
16,a5914,65536,10
19,a10680,65536,10
21,a10733,131072,10
22,a20000,65536,10
23,a20000,65536,10
25,a9466,65536,10
28,a20000,131072,10
29,a20000,131072,10
32,a11370,65536,10
35,a7740,262144,10
37,a13190,131072,10
39,a14140,65536,10
42,a19670,262144,10
45,a5954,65536,10
48,a13106,65536,10
51,a7765,131072,10
52,a20000,65536,10
53,a20000,262144,10
56,a20000,65536,10
79,a37,65536,12
81,a16258,131072,12
82,a19886,262144,12
83,a20000,65536,12
86,a2034,65536,12
88,a20000,65536,12
90,a16820,131072,12
93,a19671,65536,12
94,a20000,65536,12
96,a18042,65536,12
97,a20000,65536,12
98,a20000,65536,12
101,a5012,131072,12
103,a13319,262144,12
104,a20000,65536,12
107,a4686,131072,12
110,a2181,131072,12
112,a20000,65536,12
114,a13509,65536,12
116,a1987,65536,12
119,a15515,65536,12
121,a2578,131072,12
124,a9939,262144,12
127,a20001,65536,12
128,a7331,65536,12
131,a17264,262144,12
137,a14301,65536,3
139,a13787,65536,3
140,a20001,131072,3
142,a20001,65536,3
144,a19832,262144,3
146,a6459,262144,3
149,a8093,262144,3
154,a10191,262144,2
155,a20001,65536,2
158,a20001,262144,2
159,a15123,131072,2
160,a2406,131072,2
162,a20001,65536,2
165,a17774,65536,2
166,a11695,65536,2
169,a12405,65536,2
171,a18196,262144,2
174,a20001,262144,2
176,a20001,131072,2
178,a15790,131072,2
179,a20001,65536,2
182,a6004,262144,2
185,a20001,262144,2
187,a14240,262144,2
197,a3565,65536,3
199,a4976,65536,3
202,a20001,65536,3
203,a20001,65536,3
205,a11121,65536,3
208,a16259,262144,3
210,a20001,65536,3
212,a17061,131072,3
215,a20001,131072,3
218,a15511,262144,3
219,a11385,131072,3
220,a1804,262144,3
221,a20001,131072,3
222,a478,131072,3
225,a16899,65536,3
227,a11936,65536,3
230,a20001,131072,3
231,a9459,65536,3
233,a20001,65536,3
234,a20001,65536,3
235,a3865,65536,3
237,a20001,65536,3
261,a20002,65536,18
262,a20002,65536,18
265,a20002,65536,18
