t_ms,asset_id,size_bytes,sector
2,a44379,65536,0
3,a60529,65536,0
4,a83476,65536,0
7,a10774,262144,0
10,a74668,65536,0
13,a43591,65536,0
16,a53465,65536,0
18,a92328,131072,0
20,a67699,131072,0
22,a77059,262144,0
24,a62620,65536,0
26,a5601,131072,0
28,a57219,65536,0
30,a34602,65536,0
33,a90462,65536,0
36,a4383,65536,0
38,a11362,65536,0
39,a40899,65536,0
42,a66397,131072,0
45,a47819,65536,0
47,a32345,262144,0
50,a70923,131072,0
53,a69962,65536,0
54,a72497,65536,0
57,a32383,262144,0
58,a67979,262144,0
60,a74342,65536,0
62,a49931,262144,0
65,a35868,262144,0
67,a74477,65536,0
70,a59916,65536,0
71,a12,65536,0
73,a28652,262144,0
76,a97917,65536,0
77,a62621,65536,0
80,a77847,131072,0
83,a98734,131072,0
85,a35811,131072,0
86,a13002,131072,0
89,a27443,131072,0
91,a43388,65536,0
94,a28888,65536,0
96,a54970,65536,0
99,a65830,65536,0
100,a88795,131072,0
103,a91239,262144,0
105,a93652,262144,0
107,a29522,262144,0
108,a74386,262144,0
109,a32996,262144,0
110,a69628,262144,0
112,a63582,262144,0
113,a15761,131072,0
115,a34354,65536,0
116,a50232,131072,0
117,a63263,65536,0
118,a59470,65536,0
121,a97940,262144,0
122,a35227,65536,0
123,a78211,65536,0
126,a60135,131072,0
129,a21305,65536,0
130,a86399,65536,0
132,a16113,65536,0
134,a23783,131072,0
136,a6272,262144,0
137,a29468,131072,0
138,a2424,262144,0
141,a62130,65536,0
144,a67411,262144,0
146,a84408,65536,0
149,a5732,262144,0
150,a65397,262144,0
153,a29418,131072,0
154,a71131,65536,0
155,a62644,65536,0
157,a84561,131072,0
159,a60889,131072,0
161,a10985,65536,0
174,a44944,65536,187
175,a96993,65536,187
177,a75768,65536,187
179,a54358,65536,187
180,a61662,131072,187
181,a65839,131072,187
183,a8323,262144,187
186,a41241,65536,187
187,a26601,262144,187
190,a1073,65536,187
192,a85074,131072,187
206,a13874,131072,195
207,a66010,65536,195
208,a7394,131072,195
211,a90362,131072,195
213,a19253,65536,195
216,a7373,65536,195
219,a58929,65536,195
221,a45152,65536,195
224,a32817,65536,195
225,a83967,262144,195
226,a99086,131072,195
228,a4658,65536,195
230,a95278,131072,195
231,a84956,262144,195
232,a90869,65536,195
235,a98235,65536,195
238,a96614,65536,195
241,a66718,65536,195
243,a21539,131072,195
244,a93702,131072,195
246,a72633,131072,195
249,a69440,131072,195
252,a39999,65536,195
254,a9235,65536,195
255,a77432,65536,195
256,a69583,65536,195
257,a83457,262144,195
259,a11217,65536,195
262,a99085,65536,195
264,a67191,65536,195
265,a30073,65536,195
268,a34489,262144,195
271,a89256,131072,195
274,a22131,131072,195
277,a24863,262144,195
280,a81829,65536,195
283,a45398,262144,195
284,a87809,65536,195
285,a56299,131072,195
288,a78283,262144,195
290,a57900,262144,195
292,a83120,65536,195
294,a90687,131072,195
296,a14142,262144,195
297,a16637,131072,195
298,a39935,65536,195
300,a9048,262144,195
302,a15316,65536,195
304,a9213,65536,195
305,a62995,131072,195
308,a97213,262144,195
309,a38451,262144,195
312,a42796,65536,195
313,a8980,65536,195
316,a41153,65536,195
318,a24307,65536,195
321,a83538,131072,195
324,a31567,65536,195
325,a87988,65536,195
328,a90006,65536,195
329,a42931,262144,195
331,a77678,262144,195
334,a91264,65536,195
337,a59414,262144,195
339,a20279,262144,195
342,a93268,65536,195
343,a18213,65536,195
344,a1236,262144,195
345,a98517,65536,195
348,a96052,65536,195
350,a39219,65536,195
352,a95558,131072,195
355,a52429,262144,195
371,a61051,65536,171
372,a26247,131072,171
375,a87944,262144,171
378,a80401,131072,171
380,a93353,131072,171
381,a22146,262144,171
383,a17761,65536,171
386,a88552,262144,171
387,a34522,262144,171
389,a61022,131072,171
392,a10662,65536,171
395,a87632,262144,171
397,a92523,65536,171
399,a25787,262144,171
402,a53065,65536,171
404,a1094,65536,171
407,a45322,131072,171
409,a59149,262144,171
411,a77055,65536,171
412,a80802,65536,171
414,a31331,262144,171
416,a14000,131072,171
417,a4700,65536,171
419,a92483,65536,171
420,a83682,65536,171
421,a51666,65536,171
423,a80889,131072,171
426,a21853,65536,171
427,a7265,65536,171
429,a65296,262144,171
430,a89903,262144,171
431,a61470,131072,171
432,a21216,65536,171
435,a73170,131072,171
438,a27668,65536,171
439,a1125,262144,171
441,a31646,131072,171
444,a43012,65536,171
447,a96084,262144,171
449,a43808,65536,171
452,a75383,65536,171
453,a87599,262144,171
454,a42329,131072,171
455,a825,65536,171
457,a87887,65536,171
460,a91072,131072,171
461,a26178,65536,171
464,a74944,262144,171
465,a37057,65536,171
467,a98446,65536,171
469,a90763,65536,171
472,a1344,262144,171
474,a77754,262144,171
475,a66183,262144,171
476,a36347,131072,171
478,a6673,65536,171
480,a89056,65536,171
482,a52223,131072,171
485,a68245,65536,171
488,a29611,65536,171
491,a68330,131072,171
494,a89606,262144,171
495,a49600,131072,171
496,a87689,65536,171
497,a52503,65536,171
500,a85708,262144,171
502,a27194,262144,171
505,a4785,65536,171
508,a41642,65536,171
510,a31754,65536,171
511,a36332,65536,171
514,a43652,131072,171
535,a8754,65536,94
536,a67559,131072,94
537,a41881,65536,94
538,a77003,131072,94
539,a26917,65536,94
541,a7046,131072,94
543,a8319,65536,94
545,a42721,262144,94
546,a63215,65536,94
547,a5903,131072,94
550,a87911,262144,94
552,a18571,131072,94
554,a32086,65536,94
555,a11476,65536,94
556,a91498,65536,94
558,a4394,65536,94
559,a96490,131072,94
560,a29600,131072,94
562,a12413,65536,94
563,a5341,131072,94
565,a48667,131072,94
567,a98384,262144,94
569,a68328,131072,94
572,a35390,131072,94
573,a49231,65536,94
575,a71601,65536,94
577,a5492,65536,94
580,a45278,131072,94
581,a82129,65536,94
583,a21195,262144,94
585,a74322,65536,94
586,a74943,65536,94
587,a8973,131072,94
589,a82594,65536,94
590,a22761,65536,94
591,a98768,262144,94
592,a67134,65536,94
593,a34791,131072,94
595,a68101,65536,94
598,a62033,262144,94
601,a45308,131072,94
620,a44113,65536,38
623,a24146,131072,38
626,a71171,65536,38
629,a4705,65536,38
630,a61702,262144,38
631,a97079,65536,38
633,a78298,65536,38
636,a42553,262144,38
639,a61028,131072,38
642,a90306,65536,38
644,a46091,262144,38
646,a17876,131072,38
647,a88646,65536,38
648,a32897,131072,38
649,a5259,65536,38
651,a93645,262144,38
654,a62655,65536,38
656,a15406,65536,38
659,a90148,65536,38
660,a15462,65536,38
663,a41308,131072,38
666,a21719,65536,38
668,a97296,262144,38
671,a8528,65536,38
674,a94103,65536,38
677,a30312,65536,38
678,a45699,65536,38
681,a7783,65536,38
683,a64454,262144,38
685,a28959,262144,38
688,a47910,65536,38
691,a99735,65536,38
693,a48473,262144,38
695,a67164,65536,38
698,a22700,262144,38
701,a32283,65536,38
704,a84611,131072,38
706,a81282,131072,38
709,a90431,65536,38
710,a73854,65536,38
713,a72615,65536,38
716,a17996,131072,38
719,a2955,65536,38
720,a77943,65536,38
723,a25578,65536,38
726,a35305,65536,38
729,a35313,65536,38
732,a95557,262144,38
733,a68743,65536,38
734,a785,262144,38
736,a30,262144,38
737,a40520,65536,38
738,a69442,262144,38
739,a12740,131072,38
740,a27747,65536,38
743,a6557,65536,38
746,a24340,131072,38
748,a83445,65536,38
749,a25709,131072,38
752,a56167,65536,38
754,a69641,131072,38
757,a49195,131072,38
759,a61028,131072,38
761,a25709,65536,38
763,a57557,65536,38
766,a66411,131072,38
769,a33001,262144,38
771,a16165,262144,38
773,a41497,65536,38
775,a54379,262144,38
778,a79961,262144,38
780,a71430,131072,38
781,a10992,65536,38
782,a93186,131072,38
784,a33583,262144,38
785,a32108,65536,38
788,a25530,131072,38
789,a20644,65536,38
792,a77830,262144,38
794,a43532,262144,38
795,a65290,65536,38
798,a56695,65536,38
800,a2168,262144,38
802,a61012,65536,38
804,a30312,65536,38
805,a27916,131072,38
807,a66105,65536,38
809,a33349,131072,38
810,a66928,131072,38
812,a10499,65536,38
832,a36838,262144,48
834,a94953,65536,48
835,a7675,65536,48
838,a56056,131072,48
839,a22889,262144,48
841,a79194,65536,48
844,a40047,131072,48
846,a37340,262144,48
848,a44074,131072,48
850,a13512,131072,48
851,a49093,65536,48
854,a25108,65536,48
855,a81897,65536,48
857,a11500,65536,48
858,a12728,131072,48
859,a75279,131072,48
862,a87228,131072,48
864,a81998,65536,48
867,a48643,131072,48
870,a47725,65536,48
873,a1284,262144,48
875,a12983,262144,48
878,a29548,262144,48
881,a19298,262144,48
884,a65361,65536,48
887,a85440,262144,48
888,a81941,65536,48
889,a73344,262144,48
892,a23021,65536,48
895,a57332,65536,48
896,a97986,65536,48
898,a76147,65536,48
900,a57135,131072,48
901,a31041,262144,48
902,a89563,262144,48
905,a60533,65536,48
906,a63390,65536,48
908,a183,131072,48
909,a41970,65536,48
911,a24308,131072,48
914,a59528,65536,48
917,a13963,65536,48
918,a77214,65536,48
920,a51813,131072,48
921,a86610,262144,48
922,a75896,65536,48
925,a94174,262144,48
926,a36179,262144,48
927,a92431,65536,48
929,a61482,65536,48
953,a99348,262144,20
954,a91773,131072,20
957,a48890,65536,20
959,a54584,131072,20
962,a24024,131072,20
963,a31932,131072,20
966,a54015,65536,20
967,a19227,65536,20
968,a56738,262144,20
969,a36932,131072,20
972,a60063,131072,20
975,a78364,262144,20
978,a34569,65536,20
980,a46468,65536,20
982,a35648,65536,20
985,a132,65536,20
987,a95542,262144,20
989,a77250,131072,20
991,a88073,65536,20
994,a6315,65536,20
995,a81480,262144,20
996,a86701,65536,20
998,a62354,131072,20
1000,a58522,131072,20
1003,a74036,131072,20
1006,a67459,65536,20
1007,a84065,65536,20
1008,a98938,262144,20
1010,a22953,131072,20
1011,a38880,65536,20
1012,a92552,131072,20
1015,a57384,131072,20
1017,a59107,65536,20
1020,a58246,65536,20
1021,a81169,262144,20
1024,a89627,65536,20
1025,a58937,262144,20
1027,a35436,131072,20
1029,a60590,262144,20
1030,a32314,65536,20
1031,a12230,262144,20
1034,a47242,262144,20
1036,a51720,65536,20
1039,a42667,65536,20
1041,a23561,262144,20
1043,a37334,262144,20
1045,a72187,262144,20
1047,a43898,131072,20
1048,a12729,65536,20
1050,a66959,131072,20
1051,a81115,65536,20
1054,a7003,65536,20
1055,a98028,262144,20
1056,a42774,131072,20
1059,a78017,262144,20
1061,a17041,65536,20
1063,a43279,65536,20
1066,a26767,65536,20
1067,a9267,65536,20
1068,a45309,65536,20
1071,a87368,65536,20
1073,a40136,65536,20
1076,a98974,131072,20
1079,a9203,131072,20
1080,a24374,65536,20
1081,a15536,65536,20
1083,a6755,131072,20
1086,a47911,65536,20
1087,a61322,262144,20
1088,a98219,65536,20
1090,a14200,262144,20
1093,a52011,131072,20
1094,a19147,262144,20
1097,a32840,65536,20
1114,a53814,262144,139
1115,a79097,131072,139
1116,a47313,131072,139
1117,a32024,131072,139
1119,a44885,131072,139
1121,a25906,262144,139
1124,a21630,262144,139
1125,a22752,65536,139
1127,a75700,65536,139
1129,a44896,65536,139
1132,a17773,65536,139
1133,a94017,262144,139
1135,a23659,65536,139
1136,a40251,65536,139
1137,a8465,65536,139
1138,a62918,65536,139
1141,a60492,262144,139
1142,a62918,65536,139
1145,a9080,65536,139
1147,a13151,65536,139
1150,a24778,65536,139
1152,a10893,262144,139
1154,a16548,65536,139
1156,a26664,131072,139
1157,a81476,65536,139
1159,a63221,131072,139
1160,a41138,65536,139
1163,a83820,65536,139
1164,a10062,65536,139
1166,a76984,65536,139
1168,a93739,262144,139
1170,a67692,65536,139
1171,a70159,262144,139
1174,a83770,262144,139
1176,a87484,131072,139
1178,a55660,131072,139
1179,a97380,262144,139
1180,a74523,131072,139
1183,a33601,262144,139
1186,a71761,65536,139
1189,a43580,65536,139
1190,a5861,262144,139
1191,a20593,65536,139
1192,a28732,262144,139
1193,a57776,131072,139
1196,a88628,65536,139
1199,a71761,131072,139
1201,a79085,65536,139
1202,a93810,262144,139
1205,a81147,131072,139
1208,a51999,131072,139
1209,a53340,262144,139
1211,a39715,131072,139
1213,a8474,65536,139
1215,a24828,262144,139
1216,a50215,131072,139
1217,a58722,65536,139
1218,a87119,131072,139
1220,a35399,131072,139
1221,a60674,65536,139
1224,a50159,65536,139
1226,a89418,262144,139
1228,a74301,131072,139
1231,a71952,65536,139
1232,a94397,262144,139
1235,a75941,131072,139
1237,a57683,65536,139
1239,a52831,65536,139
1240,a26861,131072,139
1243,a21916,262144,139
1245,a64724,65536,139
1248,a44415,131072,139
1250,a77777,131072,139
1252,a33756,131072,139
1254,a35215,262144,139
1256,a30470,262144,139
1258,a13063,131072,139
1260,a41412,65536,139
1262,a57061,131072,139
1278,a82752,65536,194
1280,a65011,65536,194
1281,a21265,131072,194
1282,a12622,65536,194
1285,a35699,262144,194
1286,a19570,131072,194
1288,a89304,131072,194
1289,a85324,131072,194
1291,a58222,131072,194
1293,a86864,131072,194
1295,a46734,65536,194
1296,a92475,65536,194
1297,a90860,131072,194
1299,a45225,65536,194
1302,a80634,262144,194
1305,a75579,262144,194
1307,a96851,65536,194
1308,a20776,131072,194
1309,a74337,131072,194
1311,a92532,131072,194
1314,a77399,262144,194
1317,a67657,262144,194
1318,a47224,131072,194
1321,a60282,262144,194
1322,a77238,131072,194
1325,a81688,131072,194
1326,a30347,65536,194
1328,a88325,131072,194
1329,a53850,65536,194
1331,a83835,65536,194
1333,a17008,131072,194
1334,a85991,65536,194
1335,a55762,262144,194
1338,a49872,65536,194
1341,a18059,131072,194
1344,a56058,65536,194
1346,a27352,131072,194
1349,a42953,65536,194
1351,a67440,131072,194
1354,a54488,65536,194
1357,a69580,262144,194
1358,a77345,65536,194
1359,a84751,262144,194
1362,a19571,131072,194
1364,a53683,65536,194
1365,a87480,131072,194
1367,a87438,65536,194
1368,a53826,262144,194
1369,a78684,65536,194
1372,a7102,131072,194
1373,a5768,262144,194
1375,a658,262144,194
1377,a85604,65536,194
1379,a37363,65536,194
1380,a85058,65536,194
1381,a54806,65536,194
1383,a84552,65536,194
1385,a92820,65536,194
1388,a6486,65536,194
1390,a33082,65536,194
1393,a8696,65536,194
1395,a84891,262144,194
1398,a84963,65536,194
1401,a24032,65536,194
1402,a10516,65536,194
1404,a44790,65536,194
1406,a22553,65536,194
1407,a8471,65536,194
1409,a35871,65536,194
1411,a23735,65536,194
1412,a86719,65536,194
1414,a77142,131072,194
1417,a16920,65536,194
1420,a90378,65536,194
1423,a69639,262144,194
1424,a45136,65536,194
1427,a43291,262144,194
1428,a48559,65536,194
1430,a52266,65536,194
1431,a84327,65536,194
1434,a33137,65536,194
1435,a43497,262144,194
1437,a3194,65536,194
1438,a52925,65536,194
1439,a75739,65536,194
1440,a16683,65536,194
1443,a80219,65536,194
1446,a66640,65536,194
1448,a25832,262144,194
1449,a10926,131072,194
1451,a53008,131072,194
1452,a62002,65536,194
1453,a38352,65536,194
1455,a30164,65536,194
1458,a50235,65536,194
1460,a82446,131072,194
1462,a46962,65536,194
1465,a38288,65536,194
1468,a23389,131072,194
1470,a52792,262144,194
1472,a72262,262144,194
1473,a5527,65536,194
1475,a91551,65536,194
1478,a6176,65536,194
1481,a20028,65536,194
1484,a274,65536,194
1487,a64010,65536,194
1490,a8551,65536,194
1493,a30305,262144,194
1495,a37293,65536,194
1496,a94968,131072,194
1499,a7153,65536,194
1500,a81097,262144,194
1503,a56553,131072,194
1506,a10523,65536,194
1509,a72960,131072,194
1511,a48664,65536,194
1513,a81800,131072,194
1514,a13403,65536,194
1515,a2849,131072,194
1516,a30873,131072,194
1518,a91642,131072,194
1519,a10523,131072,194
1522,a21684,65536,194
1525,a99326,65536,194
1526,a51589,65536,194
1528,a97226,65536,194
1529,a40590,65536,194
1531,a14524,131072,194
1534,a95370,65536,194
1535,a84963,65536,194
1537,a14010,131072,194
1539,a43918,262144,194
1541,a64645,131072,194
1542,a38418,262144,194
1545,a44609,262144,194
1547,a6133,131072,194
1550,a86220,262144,194
1552,a27834,65536,194
1554,a21591,65536,194
1556,a4622,262144,194
1558,a91272,262144,194
1560,a33158,131072,194
1562,a21739,65536,194
1564,a63368,262144,194
1565,a13414,65536,194
1567,a8814,131072,194
1569,a27708,131072,194
1572,a12078,65536,194
1574,a24941,262144,194
1576,a14466,65536,194
1577,a43245,262144,194
1578,a1406,262144,194
1581,a99179,131072,194
1582,a47967,65536,194
1585,a38507,65536,194
1587,a49429,65536,194
1589,a79039,131072,194
1604,a67107,131072,198
1605,a24665,65536,198
1606,a57714,262144,198
1609,a8452,65536,198
1611,a70196,131072,198
1613,a4950,65536,198
1614,a6526,262144,198
1617,a23603,65536,198
1618,a31228,65536,198
1619,a52957,65536,198
1622,a45731,262144,198
1623,a54927,65536,198
1624,a48531,65536,198
1626,a92195,131072,198
1628,a1063,262144,198
1629,a66651,131072,198
1632,a1121,262144,198
1635,a86884,262144,198
1638,a55777,131072,198
1639,a25188,131072,198
